,dif_hp,dif_atk,dif_def,dif_spatk,dif_spdef,dif_sp
0,-20,-6,10,-15,10,-19
1,0,-39,-18,18,39,0
2,-20,-35,10,-45,10,0
3,-37,-80,-50,10,-50,-28
4,50,50,-105,105,-160,50
5,-10,-3,-100,7,-100,5
6,-25,0,10,-45,-50,-25
7,-80,-20,-70,-65,-85,-55
8,0,12,28,-23,-28,-29
9,5,-25,-10,5,-20,-5
10,10,10,-25,-40,-25,-25
11,53,99,5,17,25,78
12,-50,-90,-35,-60,-65,-30
13,-25,-15,15,15,-10,25
14,30,70,100,1,70,5
15,-27,-32,11,3,12,-21
16,40,0,5,-30,-5,-55
17,-55,-60,-20,-20,15,0
18,20,95,-62,90,-80,62
19,-21,45,0,1,-25,41
20,-1,-59,-32,21,6,-20
21,26,-8,-15,-35,-30,0
22,-5,-15,-40,-80,-5,-40
23,35,10,20,-100,-60,20
24,-10,-40,-10,-5,-10,-73
25,6,-60,10,-30,54,20
26,-25,-31,15,14,-5,-44
27,-4,-11,26,8,0,-26
28,-5,-20,16,-55,-9,40
29,-16,61,36,-35,-33,5
30,-3,65,-40,-35,-50,-42
31,-5,-50,-10,5,60,-40
32,-10,-15,-25,35,5,-100
33,5,25,47,65,32,36
34,-30,-50,-63,0,-25,38
35,11,-81,-82,-3,-38,-32
36,12,45,29,5,29,-12
37,-22,-20,20,-75,-30,2
38,33,-30,16,20,51,-45
39,10,-10,4,-30,4,-23
40,15,-10,15,-29,-5,-22
41,44,-11,15,12,35,12
42,-25,-43,-2,-55,-15,-50
43,-34,-11,-53,-41,-71,-20
44,4,-10,-10,5,-20,-29
45,-35,6,-26,-31,-14,40
46,-6,14,11,-9,34,-26
47,-20,64,85,30,60,36
48,-110,-55,170,-100,135,-60
49,-31,-10,-40,-67,-30,-68
50,-15,-33,81,-28,33,-53
51,46,40,50,4,50,70
52,-1,78,68,1,1,61
53,2,-40,-33,35,5,27
54,-30,25,-10,-60,-40,-20
55,-12,-36,-27,-20,-25,-6
56,20,5,-37,-35,-37,-16
57,-21,-95,-10,-13,-20,-38
58,7,18,-43,-14,25,17
59,-21,-10,-3,3,-12,23
60,-3,-52,2,-12,72,2
61,-13,29,-15,39,-40,5
62,49,79,30,7,20,7
63,-21,-2,12,-30,-6,27
64,-32,20,-15,-25,-15,16
65,7,-27,-31,38,35,53
66,50,100,55,75,30,45
67,-15,-30,5,-5,-30,15
68,-11,-47,10,11,10,-28
69,-9,-70,-16,15,-73,-21
70,-58,-74,152,-99,145,-95
71,-9,-16,-23,54,19,70
72,-26,-10,16,-86,11,-80
73,-11,13,-45,13,-45,-7
74,44,68,23,35,15,10
75,-90,30,34,5,34,10
76,-50,-15,-10,-25,-35,-40
77,-5,25,-53,3,-50,35
78,-54,-26,12,-1,12,37
79,25,45,10,-50,-30,-10
80,0,-50,-13,-65,-3,-85
81,0,-17,15,1,-5,-22
82,20,7,12,48,8,-10
83,-5,-35,-57,-40,-57,-41
84,-50,-52,-32,-35,-15,-21
85,8,-21,-67,-5,-50,60
86,-25,-27,-35,-78,-10,-5
87,-30,-78,-13,-38,57,-51
88,105,20,-35,55,-35,45
89,-3,-41,16,24,36,-32
90,-50,20,-40,-20,-90,-5
91,-16,-50,-10,-18,2,-5
92,-8,-11,44,56,21,-66
93,8,30,12,33,24,25
94,-65,-35,-15,0,-60,-50
95,-47,-71,-46,-14,-46,-47
96,-25,15,25,-30,-55,-45
97,-31,-45,-36,-12,-36,-31
98,-10,25,-25,25,-40,15
99,-5,10,20,57,40,83
100,-20,-23,10,-23,-20,16
101,-12,-14,8,-14,11,-55
102,5,-53,5,12,5,55
103,-37,-44,-33,-27,-31,-24
104,-15,-50,-55,-25,-15,0
105,50,65,-4,-35,11,70
106,-35,-50,-25,25,-55,40
107,-30,-45,-10,15,-5,5
108,-21,12,-17,-35,-10,10
109,-24,-29,-5,36,33,-1
110,10,-14,-40,11,-35,9
111,-17,-20,-25,5,-35,2
112,30,10,30,-10,-5,-50
113,25,65,10,30,40,65
114,21,35,60,95,40,19
115,65,45,-11,5,55,26
116,10,-65,-3,5,-55,-42
117,5,-43,12,-9,17,-47
118,14,-5,155,5,15,-130
119,-20,10,0,-60,-20,-30
120,15,23,-12,20,0,19
121,30,40,75,-15,-50,-70
122,-10,10,15,75,10,60
123,10,20,45,-65,-30,5
124,-30,30,0,-55,0,11
125,-56,0,20,-10,15,11
126,-35,20,-35,-35,-35,-70
127,-10,-60,20,30,-10,-40
128,25,10,-15,70,50,20
129,-32,-29,3,10,10,25
130,6,0,23,3,-5,5
131,3,44,23,60,20,5
132,-25,-20,-10,-10,-20,-70
133,-15,-7,-63,-57,-73,40
134,5,45,50,35,45,10
135,-36,-30,-20,-5,-79,-50
136,25,30,10,15,0,55
137,17,-5,13,8,9,-3
138,12,80,20,-20,-50,-22
139,10,35,72,55,37,31
140,33,-7,25,-17,25,-64
141,10,74,55,39,10,7
142,-45,0,-20,-28,0,50
143,-5,-35,-70,-45,-15,-15
144,-20,15,-14,52,-35,29
145,77,0,72,25,70,47
146,-75,25,-70,-35,-80,-10
147,-23,-10,-5,-125,-105,-50
148,-30,22,50,-5,15,25
149,-32,-69,-45,30,15,19
150,5,20,50,85,0,-35
151,0,-35,-5,-50,-25,-65
152,3,4,18,44,-5,-2
153,0,-5,-20,10,0,-70
154,5,43,47,78,77,57
155,-5,40,5,40,-10,10
156,-15,-47,-13,-12,22,-3
157,-11,-41,35,-119,-35,-84
158,0,0,20,50,45,5
159,-26,-98,-35,-93,-65,-70
160,21,4,-30,16,-15,9
161,45,20,-22,55,40,25
162,44,15,30,15,50,-110
163,0,-30,20,20,120,-30
164,-27,3,-23,-34,-29,29
165,-10,-50,-20,35,-10,-30
166,20,36,-30,-9,-20,94
167,-10,-40,-61,-42,-38,-20
168,20,20,36,40,26,0
169,100,36,70,55,70,49
170,30,35,10,-50,10,-75
171,7,30,13,-45,30,0
172,-35,-110,-30,-110,-30,-45
173,12,18,-5,26,15,19
174,55,-5,-40,-90,-25,-105
175,10,34,20,-30,15,-29
176,15,-30,-21,35,9,35
177,15,24,46,91,34,40
178,5,-70,-72,-38,-25,-44
179,-18,9,-1,-14,51,-86
180,-70,-50,-40,-45,0,5
181,5,40,26,10,36,8
182,-38,-68,-28,-25,-30,-46
183,-15,30,-15,-25,5,-5
184,-5,19,-5,-8,-35,1
185,28,19,-1,50,26,23
186,34,80,10,25,40,45
187,35,100,80,-5,-55,-5
188,20,40,-2,-55,-67,-66
189,32,2,12,-4,-22,-77
190,-9,6,32,-55,-35,-58
191,6,-12,18,45,19,19
192,47,99,67,59,44,50
193,-85,-10,-55,-39,-59,10
194,33,-20,-75,-30,-80,51
195,-10,20,-5,-60,-40,-70
196,-7,-30,5,60,55,-35
197,5,-25,5,20,10,50
198,11,-45,-90,45,26,55
199,17,69,12,-16,29,85
200,-38,-56,-35,-23,-12,-54
201,10,-20,-13,-100,25,-27
202,11,22,-5,-33,-10,4
203,30,10,-20,-30,5,-35
204,-80,-115,25,-35,-20,-70
205,56,52,60,60,-14,7
206,25,66,35,-9,-15,-11
207,-27,-50,8,-45,20,-57
208,-10,-50,5,25,15,-10
209,12,-37,0,43,0,67
210,4,-45,35,-45,35,-4
211,41,39,36,39,36,43
212,23,8,43,91,39,15
213,-15,-35,-45,-150,-75,-85
214,36,-39,-13,6,42,-32
215,10,-10,10,55,55,35
216,10,40,45,5,15,25
217,16,55,23,30,-23,-12
218,21,111,65,5,55,40
219,20,15,-49,60,-29,18
220,-35,-35,-35,-50,-25,-75
221,-20,-75,-57,-15,-32,-23
222,-15,-32,-13,-4,9,10
223,40,-13,-25,55,30,48
224,-70,-78,-30,-60,-25,25
225,-60,12,0,-13,-35,43
226,-20,-2,85,32,40,7
227,35,35,95,14,44,25
228,-24,51,51,41,44,19
229,-54,-28,-23,-32,-12,-1
230,33,-45,21,30,86,30
231,5,-3,-25,72,25,5
232,-15,-70,-70,35,-15,0
233,10,-7,-88,78,-18,75
234,-3,55,9,75,9,15
235,80,33,-7,43,-7,30
236,25,16,-10,2,0,-3
237,4,-44,-5,-7,-25,-73
238,0,-30,5,0,-45,40
239,5,35,20,-40,-70,-60
240,-11,25,77,-34,33,-7
241,60,150,128,100,38,25
242,-22,-13,-25,-25,-21,-14
243,-10,19,35,24,55,11
244,-28,0,5,80,35,8
245,34,-66,-34,38,36,-42
246,10,10,-55,15,25,60
247,-25,5,-45,-25,50,30
248,45,60,23,32,65,45
249,80,10,-80,60,40,40
250,-70,-130,-78,-30,-58,-35
251,55,10,80,30,100,5
252,10,23,18,-2,18,-21
253,14,0,-20,-5,-30,36
254,-47,-36,-74,-34,-24,4
255,4,18,19,5,70,19
256,15,25,50,-5,65,0
257,35,60,40,-5,40,30
258,-154,17,-8,32,2,11
259,-34,-50,-60,-134,-60,-105
260,-66,-155,-70,-134,-80,-80
261,56,52,25,89,25,88
262,40,0,35,60,20,-70
263,-37,-45,-11,15,-11,-45
264,-33,-33,-18,-20,-38,15
265,1,6,33,-51,-21,-69
266,9,-30,-15,10,15,11
267,10,-25,42,-85,-5,-67
268,-5,-20,-20,10,-10,0
269,40,65,28,0,65,-8
270,35,15,15,35,45,35
271,10,5,-27,-55,-22,-46
272,-30,-45,47,-45,-23,16
273,-18,71,69,-7,-37,1
274,-10,-24,-17,-69,-30,-59
275,44,22,69,3,43,14
276,30,-15,-10,-40,-35,-90
277,-52,-25,-25,25,15,10
278,55,119,115,75,90,51
279,37,45,15,-2,10,0
280,-15,10,-10,-55,-10,-20
281,12,5,14,-5,-16,-45
282,27,40,50,70,98,9
283,18,37,18,-28,13,-32
284,-20,0,-35,25,15,10
285,61,100,15,119,55,110
286,-30,-10,50,-10,-90,0
287,15,-25,40,-20,-5,-30
288,10,85,180,-70,35,0
289,20,15,0,-115,-40,-40
290,2,-33,5,-13,50,-18
291,-35,-47,-15,60,35,-2
292,-45,25,20,-40,-50,-40
293,-70,-90,-20,12,-5,-28
294,40,23,-105,0,-105,-35
295,23,30,12,-43,29,-41
296,26,15,5,62,12,41
297,6,-10,-35,-43,-38,-44
298,65,11,13,41,21,-3
299,35,32,40,60,62,18
300,-12,-15,35,-28,-7,5
301,56,27,-70,99,45,38
302,15,-10,47,-87,-10,-91
303,0,14,35,-11,25,-34
304,-80,10,10,10,-5,120
305,15,7,9,34,20,44
306,30,35,-37,-45,-37,9
307,15,70,60,25,15,25
308,27,84,32,9,39,110
309,-28,-125,1,10,-39,-120
310,5,-25,5,15,40,10
311,-63,23,13,-19,-7,42
312,36,7,32,29,67,10
313,15,30,25,10,20,-90
314,-42,-25,-25,1,-41,-13
315,30,165,55,87,45,106
316,-6,-15,-5,-51,-32,-21
317,11,34,11,39,6,-7
318,40,42,30,25,30,12
319,0,4,-10,-63,-10,-57
320,-32,-69,-60,-99,-80,-60
321,0,0,27,-25,27,-14
322,15,-5,25,60,30,-15
323,4,30,-5,28,-2,-11
324,10,11,-5,-54,-25,-2
325,6,54,-28,14,-36,45
326,35,95,80,60,20,70
327,39,70,93,5,28,-21
328,35,35,10,105,30,85
329,5,30,14,-26,-2,13
330,48,-21,9,1,29,-43
331,-15,30,51,50,46,-20
332,-45,-43,-35,-23,-45,-12
333,-7,31,40,68,27,79
334,32,65,12,-42,-94,5
335,5,5,12,-17,-21,-4
336,-15,-45,0,-40,-35,60
337,-40,53,43,53,38,81
338,-25,-15,-11,-12,-20,14
339,0,-15,5,34,9,-5
340,-14,15,-10,45,10,34
341,10,-68,-5,-38,5,-40
342,22,33,30,-6,-15,-44
343,66,71,35,71,38,39
344,4,-17,-3,47,15,-18
345,-19,-97,-82,-63,-28,-86
346,-26,-95,-18,-94,-18,-55
347,-15,3,-105,51,33,42
348,55,30,55,35,35,-25
349,22,-2,25,31,35,25
350,-10,34,45,29,10,-63
351,30,-55,-40,0,0,-5
352,-15,25,35,-45,-5,-60
353,-12,-23,-25,-52,-25,-32
354,41,-34,0,52,30,-7
355,-26,-57,-32,-60,-50,-70
356,-54,-20,-37,-88,-88,-40
