,p1_type1,p2_type1,winner,nbrContre,probWinParType
0,Rock,Grass,0,482.0,0.4315352697095436
1,Grass,Rock,0,482.0,0.5684647302904564
2,Fairy,Psychic,0,138.0,0.26811594202898553
3,Fire,Dragon,0,252.0,0.43253968253968256
4,Rock,Bug,1,487.0,0.5420944558521561
5,Bug,Steel,1,289.0,0.47058823529411764
6,Psychic,Ice,0,224.0,0.625
7,Fighting,Ghost,0,131.0,0.13740458015267176
8,Bug,Water,0,1204.0,0.46096345514950166
9,Water,Electric,0,713.0,0.3015427769985975
10,Normal,Water,0,1702.0,0.6057579318448884
11,Rock,Ghost,1,208.0,0.38461538461538464
12,Bug,Water,0,1204.0,0.46096345514950166
13,Rock,Water,1,759.0,0.40974967061923584
14,Rock,Bug,1,487.0,0.5420944558521561
15,Water,Bug,0,1204.0,0.5390365448504983
16,Water,Electric,0,713.0,0.3015427769985975
17,Normal,Ice,0,365.0,0.6054794520547945
18,Fighting,Rock,1,194.0,0.6804123711340206
19,Water,Psychic,1,1086.0,0.3839779005524862
20,Water,Dark,0,520.0,0.3557692307692308
21,Water,Water,0,971.0,1.0
22,Water,Ghost,0,500.0,0.532
23,Ground,Fire,1,266.0,0.48120300751879697
24,Grass,Electric,0,459.0,0.3333333333333333
25,Psychic,Dragon,1,276.0,0.463768115942029
26,Bug,Normal,0,1066.0,0.38649155722326456
27,Water,Rock,0,759.0,0.5902503293807642
28,Normal,Electric,1,676.0,0.3816568047337278
29,Bug,Psychic,1,646.0,0.4241486068111455
30,Rock,Water,0,759.0,0.40974967061923584
31,Bug,Normal,0,1066.0,0.38649155722326456
32,Grass,Poison,0,301.0,0.43521594684385384
33,Electric,Normal,1,676.0,0.6183431952662722
34,Fire,Rock,0,358.0,0.6033519553072626
35,Water,Rock,0,759.0,0.5902503293807642
36,Dark,Normal,0,495.0,0.5474747474747474
37,Water,Ice,1,445.0,0.5280898876404494
38,Normal,Poison,0,432.0,0.6388888888888888
39,Normal,Water,0,1702.0,0.6057579318448884
40,Normal,Water,0,1702.0,0.6057579318448884
41,Water,Grass,1,1208.0,0.5016556291390728
42,Ground,Electric,1,218.0,0.9036697247706422
43,Grass,Water,0,1208.0,0.49834437086092714
44,Psychic,Ice,0,224.0,0.625
45,Normal,Ice,1,365.0,0.6054794520547945
46,Grass,Fire,0,547.0,0.2961608775137112
47,Grass,Normal,1,984.0,0.39939024390243905
48,Bug,Water,0,1204.0,0.46096345514950166
49,Grass,Water,0,1208.0,0.49834437086092714
50,Rock,Fire,0,358.0,0.39664804469273746
51,Psychic,Steel,0,279.0,0.5519713261648745
52,Ground,Fairy,1,82.0,0.7073170731707317
53,Ice,Ghost,1,123.0,0.4959349593495935
54,Ground,Grass,0,318.0,0.5094339622641509
55,Fire,Ice,0,196.0,0.6836734693877551
56,Normal,Electric,0,676.0,0.3816568047337278
57,Bug,Dragon,0,342.0,0.28362573099415206
58,Water,Grass,1,1208.0,0.5016556291390728
59,Ice,Grass,1,244.0,0.5819672131147541
60,Water,Psychic,1,1086.0,0.3839779005524862
61,Dark,Fire,1,249.0,0.5100401606425703
62,Fighting,Grass,1,270.0,0.562962962962963
63,Bug,Poison,1,324.0,0.4660493827160494
64,Normal,Water,1,1702.0,0.6057579318448884
65,Psychic,Rock,1,445.0,0.6292134831460674
66,Water,Electric,1,713.0,0.3015427769985975
67,Water,Grass,1,1208.0,0.5016556291390728
68,Grass,Rock,0,482.0,0.5684647302904564
69,Dark,Fighting,0,103.0,0.5048543689320388
70,Bug,Fire,0,599.0,0.330550918196995
71,Psychic,Water,1,1086.0,0.6160220994475138
72,Grass,Grass,0,354.0,1.0
73,Dark,Grass,0,332.0,0.7228915662650602
74,Dragon,Poison,1,173.0,0.6878612716763006
75,Electric,Water,1,713.0,0.6984572230014026
76,Steel,Water,0,497.0,0.3822937625754527
77,Psychic,Grass,1,632.0,0.6265822784810127
78,Water,Normal,1,1702.0,0.39424206815511165
79,Normal,Dragon,0,479.0,0.42588726513569936
80,Bug,Grass,0,764.0,0.518324607329843
81,Normal,Ground,0,472.0,0.510593220338983
82,Normal,Water,0,1702.0,0.6057579318448884
83,Psychic,Electric,0,422.0,0.43364928909952605
84,Ground,Poison,0,149.0,0.6174496644295302
85,Fire,Dark,0,249.0,0.4899598393574297
86,Bug,Fire,0,599.0,0.330550918196995
87,Water,Fire,0,931.0,0.41568206229860366
88,Ghost,Ghost,1,83.0,1.0
89,Steel,Bug,0,289.0,0.5294117647058824
90,Dark,Dark,0,74.0,1.0
91,Psychic,Ghost,0,289.0,0.5501730103806228
92,Electric,Fire,0,327.0,0.599388379204893
93,Dragon,Dark,1,149.0,0.48322147651006714
94,Rock,Water,0,759.0,0.40974967061923584
95,Fire,Rock,0,358.0,0.6033519553072626
96,Bug,Water,0,1204.0,0.46096345514950166
97,Fire,Bug,0,599.0,0.669449081803005
98,Water,Normal,1,1702.0,0.39424206815511165
99,Flying,Ground,1,19.0,0.8947368421052632
100,Grass,Water,1,1208.0,0.49834437086092714
101,Water,Bug,0,1204.0,0.5390365448504983
102,Bug,Ground,1,335.0,0.47761194029850745
103,Fire,Poison,0,225.0,0.6711111111111111
104,Normal,Dragon,0,479.0,0.42588726513569936
105,Normal,Electric,1,676.0,0.3816568047337278
106,Psychic,Dragon,1,276.0,0.463768115942029
107,Poison,Fire,1,225.0,0.3288888888888889
108,Fire,Ghost,1,244.0,0.6434426229508197
109,Fairy,Normal,0,247.0,0.242914979757085
110,Electric,Bug,1,473.0,0.733615221987315
111,Dragon,Normal,1,479.0,0.5741127348643006
112,Ice,Electric,0,163.0,0.2883435582822086
113,Fighting,Grass,1,270.0,0.562962962962963
114,Steel,Normal,1,422.0,0.4218009478672986
115,Water,Rock,1,759.0,0.5902503293807642
116,Bug,Fighting,0,271.0,0.4280442804428044
117,Rock,Dragon,0,260.0,0.25384615384615383
118,Steel,Bug,0,289.0,0.5294117647058824
119,Grass,Ice,0,244.0,0.4180327868852459
120,Grass,Poison,1,301.0,0.43521594684385384
121,Fire,Psychic,1,448.0,0.4799107142857143
122,Ghost,Rock,1,208.0,0.6153846153846154
123,Poison,Grass,1,301.0,0.5647840531561462
124,Fighting,Water,1,472.0,0.4533898305084746
125,Normal,Normal,1,708.0,1.0
126,Ground,Water,0,571.0,0.5306479859894921
127,Water,Bug,0,1204.0,0.5390365448504983
128,Grass,Steel,1,274.0,0.5036496350364964
129,Fire,Fire,1,215.0,1.0
130,Dark,Water,1,520.0,0.6442307692307693
131,Fire,Normal,1,861.0,0.5412311265969802
132,Bug,Rock,0,487.0,0.45790554414784396
133,Normal,Ghost,0,484.0,0.493801652892562
134,Rock,Fighting,1,194.0,0.31958762886597936
135,Fire,Fire,0,215.0,1.0
136,Normal,Grass,1,984.0,0.600609756097561
137,Fire,Ice,0,196.0,0.6836734693877551
138,Dragon,Water,0,584.0,0.7157534246575342
139,Electric,Grass,1,459.0,0.6666666666666666
140,Water,Psychic,0,1086.0,0.3839779005524862
141,Water,Psychic,1,1086.0,0.3839779005524862
142,Ground,Water,0,571.0,0.5306479859894921
143,Bug,Poison,0,324.0,0.4660493827160494
144,Rock,Water,1,759.0,0.40974967061923584
145,Psychic,Ghost,1,289.0,0.5501730103806228
146,Rock,Psychic,0,445.0,0.3707865168539326
147,Dragon,Psychic,0,276.0,0.5362318840579711
148,Rock,Fire,1,358.0,0.39664804469273746
149,Psychic,Rock,1,445.0,0.6292134831460674
150,Electric,Water,1,713.0,0.6984572230014026
151,Bug,Electric,0,473.0,0.266384778012685
152,Fire,Normal,0,861.0,0.5412311265969802
153,Bug,Electric,0,473.0,0.266384778012685
154,Electric,Bug,1,473.0,0.733615221987315
155,Fire,Water,1,931.0,0.5843179377013964
156,Electric,Water,0,713.0,0.6984572230014026
157,Grass,Psychic,0,632.0,0.37341772151898733
158,Psychic,Dark,0,291.0,0.054982817869415807
159,Bug,Bug,0,386.0,1.0
160,Grass,Ghost,1,351.0,0.5071225071225072
161,Fairy,Ground,1,82.0,0.2926829268292683
162,Poison,Bug,1,324.0,0.5339506172839507
163,Ice,Ice,0,47.0,1.0
164,Poison,Ice,1,99.0,0.5050505050505051
165,Grass,Rock,0,482.0,0.5684647302904564
166,Rock,Bug,1,487.0,0.5420944558521561
167,Bug,Grass,0,764.0,0.518324607329843
168,Psychic,Poison,0,270.0,0.6111111111111112
169,Ghost,Rock,1,208.0,0.6153846153846154
170,Water,Electric,0,713.0,0.3015427769985975
171,Bug,Normal,0,1066.0,0.38649155722326456
172,Normal,Dragon,0,479.0,0.42588726513569936
173,Dragon,Ghost,1,153.0,0.6862745098039216
174,Normal,Dragon,1,479.0,0.42588726513569936
175,Rock,Fire,0,358.0,0.39664804469273746
176,Ghost,Fighting,1,131.0,0.8625954198473282
177,Dark,Normal,1,495.0,0.5474747474747474
178,Water,Ghost,0,500.0,0.532
179,Normal,Fire,0,861.0,0.45876887340301975
180,Psychic,Electric,1,422.0,0.43364928909952605
181,Poison,Psychic,1,270.0,0.3888888888888889
182,Poison,Dragon,0,173.0,0.31213872832369943
183,Dark,Poison,0,125.0,0.664
184,Water,Psychic,1,1086.0,0.3839779005524862
185,Fire,Bug,1,599.0,0.669449081803005
186,Bug,Bug,1,386.0,1.0
187,Rock,Water,0,759.0,0.40974967061923584
188,Rock,Electric,1,286.0,0.2867132867132867
189,Fighting,Ground,0,124.0,0.49193548387096775
190,Bug,Fire,0,599.0,0.330550918196995
191,Water,Electric,1,713.0,0.3015427769985975
192,Dragon,Water,1,584.0,0.7157534246575342
193,Normal,Ghost,0,484.0,0.493801652892562
194,Normal,Rock,1,682.0,0.6055718475073314
195,Bug,Electric,0,473.0,0.266384778012685
196,Psychic,Normal,0,811.0,0.5474722564734895
197,Electric,Electric,1,134.0,1.0
198,Bug,Steel,0,289.0,0.47058823529411764
199,Dark,Water,1,520.0,0.6442307692307693
200,Rock,Fire,0,358.0,0.39664804469273746
201,Bug,Fighting,0,271.0,0.4280442804428044
202,Normal,Psychic,1,811.0,0.4525277435265105
203,Poison,Water,0,518.0,0.45366795366795365
204,Rock,Normal,0,682.0,0.3944281524926686
205,Grass,Water,1,1208.0,0.49834437086092714
206,Rock,Bug,0,487.0,0.5420944558521561
207,Ghost,Water,0,500.0,0.468
208,Ghost,Fairy,0,62.0,0.5483870967741935
209,Psychic,Bug,1,646.0,0.5758513931888545
210,Psychic,Bug,0,646.0,0.5758513931888545
211,Fire,Water,1,931.0,0.5843179377013964
212,Ice,Rock,1,182.0,0.489010989010989
213,Bug,Ghost,0,356.0,0.4550561797752809
214,Rock,Rock,0,157.0,1.0
215,Ghost,Ground,1,159.0,0.46540880503144655
216,Bug,Bug,1,386.0,1.0
217,Fire,Fairy,0,142.0,0.7816901408450704
218,Bug,Ground,0,335.0,0.47761194029850745
219,Bug,Bug,1,386.0,1.0
220,Poison,Fire,0,225.0,0.3288888888888889
221,Normal,Bug,0,1066.0,0.6135084427767354
222,Water,Fighting,1,472.0,0.5466101694915254
223,Water,Water,1,971.0,1.0
224,Normal,Fire,0,861.0,0.45876887340301975
225,Bug,Water,1,1204.0,0.46096345514950166
226,Ghost,Fairy,1,62.0,0.5483870967741935
227,Ground,Normal,1,472.0,0.4894067796610169
228,Dark,Ghost,1,142.0,0.6690140845070423
229,Normal,Grass,0,984.0,0.600609756097561
230,Normal,Rock,1,682.0,0.6055718475073314
231,Grass,Rock,1,482.0,0.5684647302904564
232,Normal,Ground,0,472.0,0.510593220338983
233,Psychic,Rock,1,445.0,0.6292134831460674
234,Psychic,Normal,1,811.0,0.5474722564734895
235,Poison,Ghost,1,145.0,0.42758620689655175
236,Normal,Water,0,1702.0,0.6057579318448884
237,Water,Rock,0,759.0,0.5902503293807642
238,Fighting,Normal,1,443.0,0.4401805869074492
239,Fighting,Water,0,472.0,0.4533898305084746
240,Ghost,Normal,0,484.0,0.506198347107438
241,Ground,Bug,1,335.0,0.5223880597014925
242,Normal,Fire,0,861.0,0.45876887340301975
243,Bug,Ice,1,295.0,0.488135593220339
244,Dragon,Dragon,1,75.0,1.0
245,Psychic,Rock,0,445.0,0.6292134831460674
246,Fighting,Rock,1,194.0,0.6804123711340206
247,Fighting,Bug,1,271.0,0.5719557195571956
248,Grass,Rock,1,482.0,0.5684647302904564
249,Ghost,Steel,1,158.0,0.5506329113924051
250,Bug,Normal,0,1066.0,0.38649155722326456
251,Dark,Normal,1,495.0,0.5474747474747474
252,Water,Water,0,971.0,1.0
253,Bug,Ice,1,295.0,0.488135593220339
254,Normal,Rock,1,682.0,0.6055718475073314
255,Fighting,Dragon,1,123.0,0.3252032520325203
256,Psychic,Psychic,0,259.0,1.0
257,Normal,Ice,1,365.0,0.6054794520547945
258,Ice,Psychic,1,224.0,0.375
259,Fighting,Psychic,0,236.0,0.3686440677966102
260,Bug,Psychic,0,646.0,0.4241486068111455
261,Water,Fairy,1,321.0,0.6884735202492211
262,Grass,Ground,1,318.0,0.49056603773584906
263,Fire,Bug,0,599.0,0.669449081803005
264,Normal,Ice,1,365.0,0.6054794520547945
265,Ice,Water,0,445.0,0.47191011235955055
266,Dragon,Bug,1,342.0,0.716374269005848
267,Rock,Fighting,0,194.0,0.31958762886597936
268,Normal,Fire,0,861.0,0.45876887340301975
269,Fighting,Ground,0,124.0,0.49193548387096775
270,Psychic,Psychic,1,259.0,1.0
271,Bug,Electric,0,473.0,0.266384778012685
272,Electric,Psychic,1,422.0,0.566350710900474
273,Rock,Normal,1,682.0,0.3944281524926686
274,Water,Fire,0,931.0,0.41568206229860366
275,Dragon,Fire,1,252.0,0.5674603174603174
276,Normal,Psychic,0,811.0,0.4525277435265105
277,Psychic,Ground,1,274.0,0.49635036496350365
278,Rock,Bug,1,487.0,0.5420944558521561
279,Fighting,Bug,0,271.0,0.5719557195571956
280,Normal,Steel,0,422.0,0.5781990521327014
281,Bug,Normal,0,1066.0,0.38649155722326456
282,Poison,Bug,1,324.0,0.5339506172839507
283,Psychic,Ghost,0,289.0,0.5501730103806228
284,Psychic,Water,1,1086.0,0.6160220994475138
285,Psychic,Grass,1,632.0,0.6265822784810127
286,Grass,Fairy,0,203.0,0.7093596059113301
287,Normal,Rock,0,682.0,0.6055718475073314
288,Steel,Psychic,0,279.0,0.44802867383512546
289,Normal,Ghost,0,484.0,0.493801652892562
290,Psychic,Poison,0,270.0,0.6111111111111112
291,Grass,Ground,0,318.0,0.49056603773584906
292,Water,Poison,0,518.0,0.5463320463320464
293,Fire,Ground,0,266.0,0.518796992481203
294,Fire,Psychic,0,448.0,0.4799107142857143
295,Water,Water,0,971.0,1.0
296,Normal,Ice,1,365.0,0.6054794520547945
