,dif_hp,dif_atk,dif_def,dif_spatk,dif_spdef,dif_sp,winner,nbrContre,probWinParType
0,-20,-6,10,-15,10,-19,0,482.0,0.4315352697095436
1,0,-39,-18,18,39,0,0,482.0,0.5684647302904564
2,-20,-35,10,-45,10,0,0,138.0,0.26811594202898553
3,-37,-80,-50,10,-50,-28,0,252.0,0.43253968253968256
4,50,50,-105,105,-160,50,1,487.0,0.5420944558521561
5,-10,-3,-100,7,-100,5,1,289.0,0.4705882352941176
6,-25,0,10,-45,-50,-25,0,224.0,0.625
7,-80,-20,-70,-65,-85,-55,0,131.0,0.13740458015267176
8,0,12,28,-23,-28,-29,0,1204.0,0.4609634551495017
9,5,-25,-10,5,-20,-5,0,713.0,0.3015427769985975
10,10,10,-25,-40,-25,-25,0,1702.0,0.6057579318448884
11,53,99,5,17,25,78,1,208.0,0.38461538461538464
12,-50,-90,-35,-60,-65,-30,0,1204.0,0.4609634551495017
13,-25,-15,15,15,-10,25,1,759.0,0.40974967061923584
14,30,70,100,1,70,5,1,487.0,0.5420944558521561
15,-27,-32,11,3,12,-21,0,1204.0,0.5390365448504983
16,40,0,5,-30,-5,-55,0,713.0,0.3015427769985975
17,-55,-60,-20,-20,15,0,0,365.0,0.6054794520547945
18,20,95,-62,90,-80,62,1,194.0,0.6804123711340206
19,-21,45,0,1,-25,41,1,1086.0,0.3839779005524862
20,-1,-59,-32,21,6,-20,0,520.0,0.3557692307692308
21,26,-8,-15,-35,-30,0,0,971.0,1.0
22,-5,-15,-40,-80,-5,-40,0,500.0,0.532
23,35,10,20,-100,-60,20,1,266.0,0.481203007518797
24,-10,-40,-10,-5,-10,-73,0,459.0,0.3333333333333333
25,6,-60,10,-30,54,20,1,276.0,0.463768115942029
26,-25,-31,15,14,-5,-44,0,1066.0,0.38649155722326456
27,-4,-11,26,8,0,-26,0,759.0,0.5902503293807642
28,-5,-20,16,-55,-9,40,1,676.0,0.3816568047337278
29,-16,61,36,-35,-33,5,1,646.0,0.4241486068111455
30,-3,65,-40,-35,-50,-42,0,759.0,0.40974967061923584
31,-5,-50,-10,5,60,-40,0,1066.0,0.38649155722326456
32,-10,-15,-25,35,5,-100,0,301.0,0.43521594684385373
33,5,25,47,65,32,36,1,676.0,0.6183431952662722
34,-30,-50,-63,0,-25,38,0,358.0,0.6033519553072626
35,11,-81,-82,-3,-38,-32,0,759.0,0.5902503293807642
36,12,45,29,5,29,-12,0,495.0,0.5474747474747474
37,-22,-20,20,-75,-30,2,1,445.0,0.5280898876404494
38,33,-30,16,20,51,-45,0,432.0,0.6388888888888888
39,10,-10,4,-30,4,-23,0,1702.0,0.6057579318448884
40,15,-10,15,-29,-5,-22,0,1702.0,0.6057579318448884
41,44,-11,15,12,35,12,1,1208.0,0.5016556291390728
42,-25,-43,-2,-55,-15,-50,1,218.0,0.9036697247706422
43,-34,-11,-53,-41,-71,-20,0,1208.0,0.4983443708609272
44,4,-10,-10,5,-20,-29,0,224.0,0.625
45,-35,6,-26,-31,-14,40,1,365.0,0.6054794520547945
